year,annual_cpue,sdev,n,se,var,cv,upper,lower
1997,0.447749391209708,0.3173505668015361,61,0.040632576418204766,0.10071138224925624,0.7087682820609391,0.5290145440461176,0.36648423837329847
1998,0.39465104911510107,0.23200144790614508,79,0.026102202203652305,0.05382467183054775,0.5878647692090164,0.4468554535224057,0.34244664470779645
1999,0.4437790070281846,0.3001220397833399,49,0.0428745771119057,0.09007323876371265,0.6762871497530729,0.529528161251996,0.3580298528043732
2000,0.5096743457380574,0.8887295595124383,39,0.14231062359673505,0.7898402299511725,1.7437204107761646,0.7942955929315274,0.22505309854458727
2001,0.32405057450744235,0.23073070881774485,43,0.03518610322653459,0.05323665999153897,0.7120206750704148,0.39442278096051153,0.25367836805437316
2002,0.4980352618290588,0.3105393740295786,45,0.0462924766680247,0.09643470282268253,0.6235288900812115,0.5906202151651082,0.4054503084930094
2003,0.5411326103873442,0.22216996507625109,34,0.03810183467173766,0.04935949338198262,0.4105647318449746,0.6173362797308195,0.46492894104386884
2004,0.43133614860873754,0.24639998861256898,41,0.0384812131509346,0.06071295438827413,0.5712481771057797,0.5082985749106067,0.35437372230686837
2005,0.7628587074035925,0.31067067274683796,29,0.05769009563741629,0.09651626690497289,0.407245365008958,0.8782388986784251,0.64747851612876
2006,0.6104282257454049,0.19147092749324326,26,0.037550538291298334,0.03666111607512282,0.3136665694962494,0.6855293023280016,0.5353271491628082
2007,0.5030410684762014,0.2499644353217715,43,0.03811921902056698,0.06248221892573209,0.49690661654913604,0.5792795065173354,0.4268026304350675
2008,0.37996799758869687,0.25379146692263693,49,0.03625592384609099,0.06441010868274392,0.6679285322269641,0.45247984528087887,0.3074561498965149
2009,0.3508932175529777,0.2461120182745311,65,0.03052643886589589,0.060571125539163134,0.701387219709863,0.4119460952847695,0.2898403398211859
2010,0.3402211062782589,0.19015039365614148,64,0.023768799207017684,0.03615717220758557,0.558902402429501,0.3877587046922943,0.29268350786422354
2011,0.3986897691982429,0.2860558876211889,54,0.038927275699491094,0.08182797084274625,0.7174899125112779,0.47654432059722507,0.3208352177992607
2012,0.2798135778555304,0.21817139033971283,71,0.02589218043978228,0.04759875556276334,0.7797026577900954,0.33159793873509497,0.22802921697596584
2013,0.30642664132129604,0.20820717231969363,52,0.02887313983530854,0.0433502266053626,0.6794682453911804,0.3641729209919131,0.24868036165067897
2014,0.31167525733562473,0.28236548999000344,42,0.04356994101914506,0.07973026993729473,0.9059605578056543,0.3988151393739149,0.2245353752973346
2015,0.28305640378814945,0.1959453350997773,58,0.025728882987454745,0.03839457434736401,0.692248373389321,0.3345141697630589,0.23159863781323997
2016,0.3806919087704428,0.25432473485921386,25,0.050864946971842774,0.06468107076120944,0.668059207458942,0.4824218027141283,0.27896201482675725
2017,0.4350762186833393,0.21731584292634507,35,0.03673308185382291,0.04722617558678788,0.49948913223527314,0.5085423823909851,0.3616100549756935
2018,0.5575674684610286,0.22368727463948307,16,0.05592181865987077,0.05003599683563953,0.4011842284430513,0.6694111057807701,0.445723831141287
2019,0.23591778304547395,0.18477246269098327,20,0.04131637869470823,0.03414086296889081,0.7832070151971874,0.3185505404348904,0.1532850256560575
2020,0.23415432322087393,0.06907909530963036,6,0.028201422566946854,0.004771921408796994,0.2950152461821906,0.29055716835476764,0.17775147808698022
2021,0.1901601378550009,0.23036362643408487,9,0.07678787547802829,0.05306740038386261,1.211419117763469,0.3437358888110575,0.03658438689894433
